studyId	studyType	analysisFlag	qualityControl	isCurated
GCST006908				TRUE
GCST005838				TRUE
GCST005843				TRUE
GCST005842				TRUE
GCST006910				TRUE
GCST005810			Failed summary statistics quality control	TRUE
GCST005813			Failed summary statistics quality control	TRUE
GCST005811			Failed summary statistics quality control	TRUE
GCST005814			Failed summary statistics quality control	TRUE
GCST005812			Failed summary statistics quality control	TRUE
GCST005647				TRUE
GCST005686				TRUE
GCST007516				TRUE
GCST007515				TRUE
GCST007518				TRUE
GCST007517			Failed summary statistics quality control	TRUE
GCST005902				TRUE
GCST005904				TRUE
GCST005903				TRUE
GCST005626				TRUE
GCST006366				TRUE
GCST006367				TRUE
GCST006938				TRUE
GCST005964				TRUE
GCST006937				TRUE
GCST005921			Failed summary statistics quality control	TRUE
GCST005920				TRUE
GCST005923				TRUE
GCST006268			Failed summary statistics quality control	TRUE
GCST005831				TRUE
GCST006646				TRUE
GCST006647				TRUE
GCST006638				TRUE
GCST006644				TRUE
GCST006643				TRUE
GCST006636				TRUE
GCST006654				TRUE
GCST006656				TRUE
GCST006641				TRUE
GCST006650				TRUE
GCST006651				TRUE
GCST006649				TRUE
GCST006645				TRUE
GCST006648				TRUE
GCST006653				TRUE
GCST006637				TRUE
GCST006652				TRUE
GCST006655				TRUE
GCST006642				TRUE
GCST006640				TRUE
GCST006639				TRUE
GCST006657				TRUE
GCST90241509	pQTL			TRUE
GCST90241359	pQTL			TRUE
GCST90242994	pQTL			TRUE
GCST90243211	pQTL			TRUE
GCST90241711	pQTL			TRUE
GCST90243001	pQTL			TRUE
GCST90241313	pQTL			TRUE
GCST90243179	pQTL			TRUE
GCST90242855	pQTL			TRUE
GCST90241319	pQTL			TRUE
GCST90241499	pQTL			TRUE
GCST90242992	pQTL			TRUE
GCST90243003	pQTL			TRUE
GCST90241515	pQTL			TRUE
GCST90241506	pQTL			TRUE
GCST90242965	pQTL			TRUE
GCST90242970	pQTL			TRUE
GCST90242982	pQTL			TRUE
GCST90243214	pQTL			TRUE
GCST90241706	pQTL			TRUE
GCST90242963	pQTL			TRUE
GCST90242980	pQTL			TRUE
GCST90241316	pQTL			TRUE
GCST90242967	pQTL			TRUE
GCST90241514	pQTL			TRUE
GCST90241691	pQTL			TRUE
GCST90241698	pQTL			TRUE
GCST90241493	pQTL			TRUE
GCST90242985	pQTL			TRUE
GCST90242995	pQTL			TRUE
GCST90241371	pQTL			TRUE
GCST90241335	pQTL			TRUE
GCST90243010	pQTL			TRUE
GCST90243015	pQTL			TRUE
GCST90242978	pQTL			TRUE
GCST90243056	pQTL			TRUE
GCST90243207	pQTL			TRUE
GCST90243220	pQTL			TRUE
GCST90243039	pQTL			TRUE
GCST90243042	pQTL			TRUE
GCST90241328	pQTL			TRUE
GCST90241330	pQTL			TRUE
GCST90242979	pQTL			TRUE
GCST90243007	pQTL			TRUE
GCST90241333	pQTL			TRUE
GCST90241692	pQTL			TRUE
GCST90241710	pQTL			TRUE
GCST90241482	pQTL			TRUE
GCST90242850	pQTL			TRUE
GCST90241331	pQTL			TRUE
GCST90243041	pQTL			TRUE
GCST90243043	pQTL			TRUE
GCST90241525	pQTL			TRUE
GCST90243006	pQTL			TRUE
GCST90241694	pQTL			TRUE
GCST90243036	pQTL			TRUE
GCST90241528	pQTL			TRUE
GCST90243004	pQTL			TRUE
GCST90241713	pQTL			TRUE
GCST90243201	pQTL			TRUE
GCST90243206	pQTL			TRUE
GCST90243197	pQTL			TRUE
GCST90243019	pQTL			TRUE
GCST90242873	pQTL			TRUE
GCST90241483	pQTL			TRUE
GCST90243040	pQTL			TRUE
GCST90243190	pQTL			TRUE
GCST90242944	pQTL			TRUE
GCST90243060	pQTL			TRUE
GCST90242975	pQTL			TRUE
GCST90242937	pQTL			TRUE
GCST90241521	pQTL			TRUE
GCST90241689	pQTL			TRUE
GCST90241709	pQTL			TRUE
GCST90242968	pQTL			TRUE
GCST90241334	pQTL			TRUE
GCST90243044	pQTL			TRUE
GCST90241500	pQTL			TRUE
GCST90241523	pQTL			TRUE
GCST90242999	pQTL			TRUE
GCST90241703	pQTL			TRUE
GCST90241485	pQTL			TRUE
